,links,images,brands,price,rating,catogory
10,https://www.flipkart.com/w-women-paisley-a-line-kurta/p/itmcf67115403886?pid=KTAFYEBX9V7GEJAB&lid=LSTKTAFYEBX9V7GEJABGE73RH&marketplace=FLIPKART&q=kurtas+kurtis&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_11&otracker=search&fm=organic&iid=4baecffd-4c40-4577-ac9b-7bc2c91d97b4.KTAFYEBX9V7GEJAB.SEARCH&ppt=None&ppn=None&ssid=y6eu97hgao0000001656504285512&qH=5985e3313e9e348f,https://rukminim1.flixcart.com/image/580/696/kingqkw0-0/kurta/k/s/o/l-20now14684-p115468-w-original-imafyebtaghbfadg.jpeg?q=50,W ,"₹3,999",3.4,kurta
11,https://www.flipkart.com/w-women-floral-print-a-line-kurta/p/itmdb3db1e329bdf?pid=KTAFMKUT95UYGZQT&lid=LSTKTAFMKUT95UYGZQTZF4IXH&marketplace=FLIPKART&q=kurtas+kurtis&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_12&otracker=search&fm=organic&iid=4baecffd-4c40-4577-ac9b-7bc2c91d97b4.KTAFMKUT95UYGZQT.SEARCH&ppt=None&ppn=None&ssid=y6eu97hgao0000001656504285512&qH=5985e3313e9e348f,https://rukminim1.flixcart.com/image/580/696/k3g73bk0/kurta/3/y/9/xl-19now12937-113139-w-original-imafmhfgxpk5ygzz.jpeg?q=50,W ,"₹3,999",4.3,kurta
12,https://www.flipkart.com/w-women-aztec-a-line-kurta/p/itm3e277d9705ddc?pid=KTAFMKUU69FG3HJX&lid=LSTKTAFMKUU69FG3HJXL7WI3P&marketplace=FLIPKART&q=kurtas+kurtis&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_13&otracker=search&fm=organic&iid=4baecffd-4c40-4577-ac9b-7bc2c91d97b4.KTAFMKUU69FG3HJX.SEARCH&ppt=None&ppn=None&ssid=y6eu97hgao0000001656504285512&qH=5985e3313e9e348f,https://rukminim1.flixcart.com/image/580/696/k3g73bk0/kurta/p/e/z/m-19now12932-301970-w-original-imafmhf4cfjyq9sx.jpeg?q=50,W ,"₹3,999",4.7,kurta
13,https://www.flipkart.com/w-women-embroidered-a-line-kurta/p/itmbef6fcc0563ab?pid=KTAFMKUT7HFNZJQZ&lid=LSTKTAFMKUT7HFNZJQZMFDMDI&marketplace=FLIPKART&q=kurtas+kurtis&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_14&otracker=search&fm=organic&iid=4baecffd-4c40-4577-ac9b-7bc2c91d97b4.KTAFMKUT7HFNZJQZ.SEARCH&ppt=None&ppn=None&ssid=y6eu97hgao0000001656504285512&qH=5985e3313e9e348f,https://rukminim1.flixcart.com/image/580/696/k3g73bk0/kurta/j/q/z/m-19now12879-p112849-w-original-imafmh2nn2zjct88.jpeg?q=50,W ,"₹3,999",3.7,kurta
14,https://www.flipkart.com/w-women-printed-a-line-kurta/p/itmbbccad0c9d04c?pid=KTAFMKUTXGJRV8SN&lid=LSTKTAFMKUTXGJRV8SNC3SPPD&marketplace=FLIPKART&q=kurtas+kurtis&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_15&otracker=search&fm=organic&iid=4baecffd-4c40-4577-ac9b-7bc2c91d97b4.KTAFMKUTXGJRV8SN.SEARCH&ppt=None&ppn=None&ssid=y6eu97hgao0000001656504285512&qH=5985e3313e9e348f,https://rukminim1.flixcart.com/image/580/696/k3g73bk0/kurta/3/v/t/xs-19now12884-213088-w-original-imafmhf4ytywrq7n.jpeg?q=50,W ,"₹3,999",4.4,kurta
15,https://www.flipkart.com/w-women-printed-a-line-kurta/p/itmfabp6vzqnhrxy?pid=KTAFABP5FEZMFSVE&lid=LSTKTAFABP5FEZMFSVEAB2HDB&marketplace=FLIPKART&q=kurtas+kurtis&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_16&otracker=search&fm=organic&iid=4baecffd-4c40-4577-ac9b-7bc2c91d97b4.KTAFABP5FEZMFSVE.SEARCH&ppt=None&ppn=None&ssid=y6eu97hgao0000001656504285512&qH=5985e3313e9e348f,https://rukminim1.flixcart.com/image/580/696/jpu324w0/kurta/s/v/e/m-18auw11402-110637-w-original-imafbznrdvfzgchs.jpeg?q=50,W ,"₹3,999",3.9,kurta
16,https://www.flipkart.com/w-women-printed-flared-kurta/p/itmfgf57mzvwvshx?pid=KTAFGF57HXFNH5HB&lid=LSTKTAFGF57HXFNH5HB4LAJBA&marketplace=FLIPKART&q=kurtas+kurtis&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_17&otracker=search&fm=organic&iid=4baecffd-4c40-4577-ac9b-7bc2c91d97b4.KTAFGF57HXFNH5HB.SEARCH&ppt=None&ppn=None&ssid=y6eu97hgao0000001656504285512&qH=5985e3313e9e348f,https://rukminim1.flixcart.com/image/580/696/k3hmj680/kurta/5/h/b/m-19auw13146-113409-w-original-imafmkbgs7tusp67.jpeg?q=50,W ,"₹3,999",3.2,kurta
17,https://www.flipkart.com/w-women-floral-print-a-line-kurta/p/itmce3e9eaa04d44?pid=KTAFMKUUY44FYAYA&lid=LSTKTAFMKUUY44FYAYAXNK6A1&marketplace=FLIPKART&q=kurtas+kurtis&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_18&otracker=search&fm=organic&iid=4baecffd-4c40-4577-ac9b-7bc2c91d97b4.KTAFMKUUY44FYAYA.SEARCH&ppt=None&ppn=None&ssid=y6eu97hgao0000001656504285512&qH=5985e3313e9e348f,https://rukminim1.flixcart.com/image/580/696/k3g73bk0/kurta/r/c/e/xl-19now12936-113140-w-original-imafmhf4dwh8m3xq.jpeg?q=50,W ,"₹3,999",5,kurta
18,https://www.flipkart.com/w-women-floral-print-flared-kurta/p/itm3e670e761dbd9?pid=KTAFQ37AQZRPBGT4&lid=LSTKTAFQ37AQZRPBGT4EXQOZS&marketplace=FLIPKART&q=kurtas+kurtis&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_19&otracker=search&fm=organic&iid=4baecffd-4c40-4577-ac9b-7bc2c91d97b4.KTAFQ37AQZRPBGT4.SEARCH&ppt=None&ppn=None&ssid=y6eu97hgao0000001656504285512&qH=5985e3313e9e348f,https://rukminim1.flixcart.com/image/580/696/k7z3afk0/kurta/k/n/u/xl-20few13218-213234-w-original-imafq39xgtcxtbfz.jpeg?q=50,W ,"₹3,999",4.5,kurta
19,https://www.flipkart.com/w-women-solid-straight-kurta/p/itmfabp6wqnkzrkr?pid=KTAFABP6H6NQ6JPW&lid=LSTKTAFABP6H6NQ6JPW7C9CMY&marketplace=FLIPKART&q=kurtas+kurtis&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_20&otracker=search&fm=organic&iid=4baecffd-4c40-4577-ac9b-7bc2c91d97b4.KTAFABP6H6NQ6JPW.SEARCH&ppt=None&ppn=None&ssid=y6eu97hgao0000001656504285512&qH=5985e3313e9e348f,https://rukminim1.flixcart.com/image/580/696/k1b1bbk0/kurta/j/p/w/xxl-18auw11533-210939-w-original-imafj6qc6hegyhh2.jpeg?q=50,W ,"₹3,999",3.1,kurta
