,links,images,brands,price,rating,category
10,https://www.flipkart.com/arrow-men-solid-casual-green-shirt/p/itm090ba7c7479ee?pid=SHTGB8JJERNSNDEZ&lid=LSTSHTGB8JJERNSNDEZZ7IWYK&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_11&otracker=browse&fm=organic&iid=en_R4Nwnvi%2FSd2x%2BLUaYmXTQOTll5atEheK%2FELcJM8GfKHF4zo69BccoEFrcejTHDmjO21ZcAbrYCib31t%2B1taNxw%3D%3D&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/kz5vwy80/shirt/a/y/5/42-asacsh1324-arrow-original-imagb8jjvyqsmncs.jpeg?q=50,ARROW ,"₹1,200",4.3,shirts
11,https://www.flipkart.com/raymond-men-solid-formal-black-shirt/p/itm158758b5c76cd?pid=SHTG3YRFTXTHEAAA&lid=LSTSHTG3YRFTXTHEAAA7XMCDO&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_12&otracker=browse&fm=organic&iid=en_R4Nwnvi%2FSd2x%2BLUaYmXTQOTll5atEheK%2FELcJM8GfKEv58FC%2BB4QfOvIow2fuODr9ra4mSJR0PeaHGMubUeHxQ%3D%3D&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/ks99aq80/shirt/g/x/0/40-rmsz10795-k9-raymond-original-imag5v6m7zcyugry.jpeg?q=50,Raymond ,"₹1,049",4,shirts
12,https://www.flipkart.com/dennis-lingo-men-solid-casual-black-shirt/p/itmf3x7ezp99fhqx?pid=SHTESTUWBJRRH4SN&lid=LSTSHTESTUWBJRRH4SNJEQE13&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_13&otracker=browse&fm=organic&iid=18776076-c2ce-4220-809b-817558b94de9.SHTESTUWBJRRH4SN.SEARCH&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/kfoapow0-0/shirt/2/n/x/xxl-c301-black-dennis-lingo-original-imafw2gg2n7ygpwv.jpeg?q=50,Dennis Lingo ,₹500,4.1,shirts
13,https://www.flipkart.com/dennis-lingo-men-solid-casual-green-shirt/p/itm7fee66bb6c360?pid=SHTFGYZ79C4BQYFY&lid=LSTSHTFGYZ79C4BQYFY331YAZ&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_14&otracker=browse&fm=organic&iid=18776076-c2ce-4220-809b-817558b94de9.SHTFGYZ79C4BQYFY.SEARCH&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/kpydrbk0/shirt/u/d/r/xl-c301-b-green-dennis-lingo-original-imag42z8fxqvxgzu.jpeg?q=50,Dennis Lingo ,₹500,4.1,shirts
14,https://www.flipkart.com/dennis-lingo-men-solid-formal-grey-shirt/p/itm38643f586482c?pid=SHTG68ECMXF7UFYC&lid=LSTSHTG68ECMXF7UFYCJ67SPY&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_15&otracker=browse&fm=organic&iid=18776076-c2ce-4220-809b-817558b94de9.SHTG68ECMXF7UFYC.SEARCH&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/ksqeky80/shirt/y/n/6/xxl-c610-grey-dennis-lingo-original-imag68eb6zs4qgg8.jpeg?q=50,Dennis Lingo ,₹500,4.1,shirts
15,https://www.flipkart.com/dennis-lingo-men-solid-casual-black-shirt/p/itmf3x6z7pfeee4p?pid=SHTEZM8GXB8ZQ29G&lid=LSTSHTEZM8GXB8ZQ29GSPYMCV&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_16&otracker=browse&fm=organic&iid=18776076-c2ce-4220-809b-817558b94de9.SHTEZM8GXB8ZQ29G.SEARCH&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/kjkbv680-0/shirt/8/g/c/l-cc201-2-dennis-lingo-original-imafz3k8nfwpe57e.jpeg?q=50,Dennis Lingo ,₹500,4.1,shirts
16,https://www.flipkart.com/raymond-men-checkered-formal-maroon-shirt/p/itm057102c3ed8ae?pid=SHTG8KTPWUAJWYZX&lid=LSTSHTG8KTPWUAJWYZX2Q5Z1V&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_17&otracker=browse&fm=organic&iid=en_R4Nwnvi%2FSd2x%2BLUaYmXTQOTll5atEheK%2FELcJM8GfKHCg1fxcVXFnhO2%2FadFolpYMuOOsImrAqJk%2Bnzj6pP93g%3D%3D&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/kxqg2a80/shirt/q/w/g/40-rmsz11029-o7-raymond-original-imaga4fxaygyn7rq.jpeg?q=50,Raymond ,₹945,4,shirts
17,https://www.flipkart.com/arrow-men-checkered-formal-blue-shirt/p/itmf19bf843877d5?pid=SHTG69NSGZ73WBYF&lid=LSTSHTG69NSGZ73WBYFIZLICW&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_18&otracker=browse&fm=organic&iid=en_R4Nwnvi%2FSd2x%2BLUaYmXTQOTll5atEheK%2FELcJM8GfKGc1Wks1LrGwT8SMcxhK0NjQ1asyV2DO7Z9CbOzS%2BZpcg%3D%3D&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/ku79vgw0/shirt/t/b/l/40-afacsh0664-arrow-original-imag7dn7a6ug2ctt.jpeg?q=50,ARROW ,"₹1,149",4.1,shirts
18,https://www.flipkart.com/allen-solly-men-solid-casual-grey-shirt/p/itmfa97732866cf8?pid=SHTFGEWPPCYFGZPW&lid=LSTSHTFGEWPPCYFGZPWVM8XNQ&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_19&otracker=browse&fm=organic&iid=18776076-c2ce-4220-809b-817558b94de9.SHTFGEWPPCYFGZPW.SEARCH&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/jy4q3680/shirt/z/p/w/38-assfwspfh57445-allen-solly-original-imafgf6h6qm8r3aw.jpeg?q=50,Allen Solly ,₹674,4.1,shirts
19,https://www.flipkart.com/dennis-lingo-men-solid-casual-dark-green-shirt/p/itmf3x7egy55hvxk?pid=SHTEWSUFPYHZZUYZ&lid=LSTSHTEWSUFPYHZZUYZSYKQDE&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_20&otracker=browse&fm=organic&iid=18776076-c2ce-4220-809b-817558b94de9.SHTEWSUFPYHZZUYZ.SEARCH&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/jzzvs7k0/shirt/w/p/d/l-c301-olive-dennis-lingo-original-imafjvx3vnp2z7yd.jpeg?q=50,Dennis Lingo ,₹500,4.1,shirts
