,links,images,brands,price,rating,catogory
10,https://www.flipkart.com/m-s-retail-embroidered-bollywood-net-saree/p/itm23e7bfb9be74e?pid=SARFWTDGRS3WVNME&lid=LSTSARFWTDGRS3WVNMEE8TNKN&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_11&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFWTDGRS3WVNME.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/kjvrdzk0/sari/e/v/3/free-hm-net-2004-m-s-retail-unstitched-original-imafzcthw9qaw7xp.jpeg?q=50,M.S.RETAIL ,"₹4,999",3.5,saree
11,https://www.flipkart.com/m-s-retail-embroidered-fashion-net-saree/p/itm058359488427f?pid=SARFWTDGXEECESBC&lid=LSTSARFWTDGXEECESBCKMYIPQ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_12&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFWTDGXEECESBC.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/kjvrdzk0/sari/w/p/h/free-hm-net-2004-m-s-retail-unstitched-original-imafzcthxhgf49hg.jpeg?q=50,M.S.RETAIL ,"₹4,999",3.5,saree
13,https://www.flipkart.com/m-s-retail-embroidered-bollywood-silk-blend-net-saree/p/itmc84f00a9a27a5?pid=SAREHWVPYZZUT54Y&lid=LSTSAREHWVPYZZUT54YDD8JO6&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_14&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SAREHWVPYZZUT54Y.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/sari/5/4/y/1-1-ac-1011-m-s-retail-free-original-imaehcfftea2ukxg.jpeg?q=50,M.S.RETAIL ,"₹4,903",3.7,saree
14,https://www.flipkart.com/crochetin-woven-jamdani-cotton-blend-saree/p/itm431b8c4b969b6?pid=SARFCCYYZRGDYWJT&lid=LSTSARFCCYYZRGDYWJTOY6DLM&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_15&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFCCYYZRGDYWJT.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/jqb8ccw0/sari/w/j/t/free-s1143-crochetin-original-imaf9c3gcbcuurtu.jpeg?q=50,crochetin ,"₹4,799",4,saree
15,https://www.flipkart.com/m-s-retail-woven-kanjivaram-silk-blend-saree/p/itmca2a687f64920?pid=SARF77H7ZFTCYGEJ&lid=LSTSARF77H7ZFTCYGEJAPI1BT&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_16&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARF77H7ZFTCYGEJ.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/jjolt3k0/sari/g/e/j/free-ac-rl-4010-m-s-retail-original-imaf77gyea9aana7.jpeg?q=50,M.S.RETAIL ,"₹4,590",3.5,saree
16,https://www.flipkart.com/ada-embroidered-paisley-lucknow-chikankari-handloom-georgette-saree/p/itmceeacc5d9b679?pid=SARFYZCFSK2US2SF&lid=LSTSARFYZCFSK2US2SFT6WMDU&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_17&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFYZCFSK2US2SF.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/kj0bp8w0-0/sari/3/v/g/free-red-a311193-ada-unstitched-original-imafyzcesf55gyqj.jpeg?q=50,ada ,"₹4,590",3.8,saree
18,https://www.flipkart.com/crochetin-woven-handloom-pure-cotton-saree/p/itm955dc07bbff54?pid=SARG4URCVUPPVTNF&lid=LSTSARG4URCVUPPVTNFHATWR9&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_19&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARG4URCVUPPVTNF.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/kqy3rm80/sari/f/p/z/free-h1147-crochetin-unstitched-original-imag4urcphg8sjvp.jpeg?q=50,crochetin ,"₹4,399",4.1,saree
19,https://www.flipkart.com/m-s-retail-embroidered-fashion-chiffon-satin-saree/p/itmacad36779e61a?pid=SARG24V98TSR3XWU&lid=LSTSARG24V98TSR3XWUSYKS38&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_20&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARG24V98TSR3XWU.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/kngd0nk0/sari/m/b/4/free-hm-w-1004-m-s-retail-unstitched-original-imag24v8r7zfcy6f.jpeg?q=50,M.S.RETAIL ,"₹4,050",3.3,saree
20,https://www.flipkart.com/prithvi-handcraft-work-self-design-banarasi-pure-silk-saree/p/itm9a98cd9a34247?pid=SARFNZYUMPWUP23N&lid=LSTSARFNZYUMPWUP23N0LYFBG&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_21&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFNZYUMPWUP23N.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/k59xci80/sari/2/3/n/free-bsh040-prithvi-handcraft-work-original-imafnzbnnzggf8bf.jpeg?q=50,Prithvi Handcraft Work ,"₹3,999",4.3,saree
21,https://www.flipkart.com/prithvi-handcraft-work-self-design-banarasi-pure-silk-saree/p/itm030c20308e18f?pid=SARFNZHRFSUCZD6U&lid=LSTSARFNZHRFSUCZD6UPVURFN&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_22&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFNZHRFSUCZD6U.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/k59xci80/sari/d/6/u/free-bsh040-prithvi-handcraft-work-original-imafnzmpzdwqgkcw.jpeg?q=50,Prithvi Handcraft Work ,"₹3,999",4.3,saree
